week_starting_date,avg_max_temp,avg_min_temp,avg_temp,avg_feels_like_max_temp,avg_feels_like_min_temp,avg_feels_like_temp,avg_dew_point,avg_humidity,total_precipitation,avg_precipitation_probability,avg_precipitation_cover,total_snow,avg_snow_depth,avg_wind_gust,avg_wind_speed,avg_wind_direction,avg_sea_level_pressure,avg_cloud_cover,avg_visibility,avg_solar_radiation,total_solar_energy,avg_uv_index,avg_severe_risk,avg_moon_phase,most_common_conditions,most_common_description,most_common_icon,most_common_station
2016-01-03,9.433333333333334,1.0666666666666667,4.8,7.833333333333333,-2.3666666666666667,2.3333333333333335,-3.0,58.46666666666667,0.0,0.0,0.0,0.0,0.0,39.03333333333333,22.366666666666664,287.09999999999997,1017.8666666666667,35.1,16.0,108.96666666666665,28.2,4.666666666666667,,0.7600000000000001,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-01-10,6.785714285714286,-0.8428571428571429,3.3714285714285714,5.671428571428572,-4.928571428571429,0.8714285714285713,-2.7,67.88571428571429,18.983,57.142857142857146,8.930000000000001,0.0,0.0,36.142857142857146,23.74285714285714,174.0142857142857,1022.7428571428571,64.2,12.9,72.85714285714286,44.3,3.142857142857143,,0.6399999999999999,Partially cloudy,Partly cloudy throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-01-17,6.857142857142857,-0.8,2.6571428571428575,4.957142857142856,-5.257142857142857,-0.5857142857142855,-5.785714285714286,56.57142857142857,9.676,42.857142857142854,6.547142857142857,0.0,0.14285714285714285,42.699999999999996,25.942857142857143,262.68571428571425,1012.657142857143,63.142857142857146,15.12857142857143,97.22857142857143,58.1,4.142857142857143,,0.16714285714285712,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-01-24,-0.7571428571428571,-6.471428571428571,-3.9714285714285715,-5.185714285714285,-14.171428571428573,-10.171428571428573,-11.357142857142858,59.028571428571425,35.706,71.42857142857143,22.025714285714287,1.2,0.34285714285714286,50.18571428571429,33.642857142857146,273.5285714285714,1019.9285714285714,51.457142857142856,12.571428571428571,98.98571428571428,59.5,4.142857142857143,,0.41714285714285715,"Snow, Partially cloudy",Clear conditions throughout the day.,snow,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-01-31,7.514285714285714,-2.3,2.7285714285714286,6.114285714285714,-5.414285714285714,0.3428571428571429,-4.114285714285715,62.2,0.23399999999999999,42.857142857142854,4.762857142857143,0.7,0.5,36.75714285714286,23.442857142857143,202.47142857142856,1016.4428571428572,64.6,15.6,131.79999999999998,79.7,5.285714285714286,,0.6485714285714286,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-02-07,10.514285714285714,2.7142857142857144,6.3,9.157142857142857,-0.257142857142857,4.0285714285714285,0.35714285714285704,67.5,17.335,57.142857142857146,11.904285714285715,0.2,0.34285714285714286,38.81428571428571,24.52857142857143,194.82857142857145,1020.5571428571428,77.11428571428571,15.071428571428571,101.01428571428572,60.7,4.285714285714286,,0.8742857142857143,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-02-14,1.0999999999999999,-4.785714285714286,-1.9142857142857144,-2.157142857142857,-11.028571428571428,-6.942857142857143,-11.1,51.25714285714286,5.7,28.571428571428573,6.548571428571429,0.5,0.15714285714285717,43.471428571428575,27.82857142857143,260.15714285714284,1017.1999999999999,70.31428571428572,15.5,144.1,87.0,5.857142857142857,,0.10857142857142857,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-02-21,8.271428571428572,0.20000000000000004,4.171428571428572,6.442857142857143,-3.642857142857143,1.4714285714285715,-2.042857142857143,66.7,31.642000000000003,42.857142857142854,21.428571428571427,3.6,0.5142857142857143,47.94285714285714,25.414285714285715,224.07142857142858,1020.7714285714285,70.07142857142857,13.585714285714285,102.3,61.8,4.142857142857143,,0.35714285714285715,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-02-28,11.842857142857143,2.542857142857143,6.942857142857143,10.671428571428573,-1.2285714285714284,4.328571428571428,-0.3428571428571429,62.800000000000004,40.991,71.42857142857143,23.810000000000002,0.0,0.0,48.57142857142857,29.428571428571427,169.45714285714286,1013.6714285714286,68.75714285714285,13.971428571428572,127.65714285714286,77.1,4.857142857142857,,0.5957142857142858,"Rain, Partially cloudy",Clear conditions throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-03-06,11.228571428571428,2.242857142857143,6.442857142857143,10.114285714285714,-0.48571428571428565,4.271428571428571,-2.185714285714286,56.57142857142857,4.443,57.142857142857146,9.522857142857143,1.6,0.042857142857142864,40.18571428571429,30.271428571428572,144.17142857142855,1018.0285714285714,67.31428571428572,15.200000000000001,165.14285714285714,99.6,6.285714285714286,,0.8228571428571428,"Rain, Partially cloudy",Partly cloudy throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-03-13,21.400000000000002,9.585714285714285,15.142857142857142,21.400000000000002,8.742857142857142,14.885714285714286,6.757142857142857,59.91428571428571,4.646,14.285714285714286,4.167142857142857,0.0,0.0,34.74285714285714,23.24285714285714,174.70000000000002,1020.1142857142858,76.22857142857143,15.828571428571427,157.79999999999998,95.10000000000001,6.142857142857143,,0.20285714285714285,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-03-20,15.9,7.271428571428571,11.1,15.442857142857141,4.814285714285715,9.828571428571427,3.957142857142857,66.92857142857143,10.773,85.71428571428571,11.311428571428573,0.0,0.0,40.82857142857143,23.457142857142856,115.81428571428572,1013.3571428571429,66.47142857142858,15.142857142857142,126.81428571428572,76.8,4.714285714285714,,0.3,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-03-27,18.085714285714285,7.414285714285714,12.799999999999999,18.085714285714285,5.714285714285714,12.071428571428571,2.8285714285714287,53.41428571428571,0.898,42.857142857142854,2.9771428571428573,0.0,0.0,42.385714285714286,29.099999999999998,181.41428571428574,1017.6,67.24285714285715,15.842857142857143,212.62857142857143,128.2,7.285714285714286,,0.5385714285714286,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-04-03,19.8,9.342857142857143,13.928571428571429,19.785714285714285,6.685714285714285,13.12857142857143,3.9285714285714284,53.771428571428565,17.179000000000002,85.71428571428571,20.23857142857143,0.0,0.0,63.98571428571428,42.75714285714286,251.5,1012.2285714285715,65.41428571428571,15.585714285714285,214.79999999999998,129.7,8.0,,0.7699999999999999,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-04-10,13.471428571428572,3.6142857142857143,8.22857142857143,12.6,-0.24285714285714288,5.942857142857143,-1.8714285714285717,51.4,24.515,71.42857142857143,13.691428571428572,0.0,0.0,53.642857142857146,35.114285714285714,209.87142857142857,1015.4285714285714,62.67142857142857,15.771428571428572,236.45714285714286,143.2,8.0,,0.4342857142857143,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-04-17,19.3,7.371428571428571,13.357142857142858,19.3,5.885714285714286,12.828571428571427,1.9714285714285715,48.628571428571426,1.6949999999999998,28.571428571428573,3.5714285714285716,0.0,0.0,32.957142857142856,23.514285714285712,144.75714285714284,1025.9428571428573,30.942857142857143,15.985714285714286,272.9142857142857,164.4,8.571428571428571,,0.25,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-04-24,23.685714285714287,12.071428571428571,17.857142857142858,23.314285714285713,11.185714285714285,17.65714285714286,6.042857142857143,50.357142857142854,6.167,14.285714285714286,2.9757142857142855,0.0,0.0,38.6,25.714285714285715,215.8714285714286,1018.3571428571429,65.54285714285713,15.814285714285715,257.6142857142857,155.6,8.142857142857142,,0.4785714285714286,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-05-01,18.728571428571428,11.428571428571429,14.757142857142856,18.599999999999998,10.728571428571428,14.5,10.414285714285715,77.94285714285715,27.902,71.42857142857143,21.427142857142858,0.0,0.0,34.75714285714286,21.914285714285715,121.2,1015.2857142857143,90.77142857142857,14.228571428571428,135.1,81.4,4.714285714285714,,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
2016-05-08,18.357142857142858,12.042857142857143,14.771428571428572,18.357142857142858,12.042857142857143,14.771428571428572,10.857142857142858,80.17142857142858,61.371,100.0,31.548571428571428,0.0,0.0,42.385714285714286,24.414285714285715,126.57142857142857,1007.8000000000001,92.11428571428571,14.257142857142856,148.58571428571426,90.1,4.857142857142857,,0.5328571428571428,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
