Country,Year,Land Use per capita (m²)
Myanmar,1961,0
Myanmar,1962,0
Myanmar,1963,0
Myanmar,1964,0
Myanmar,1965,0
Myanmar,1966,0
Myanmar,1967,0
Myanmar,1968,0
Myanmar,1969,0
Myanmar,1970,0
Myanmar,1971,0
Myanmar,1972,0
Myanmar,1973,0
Myanmar,1974,0
Myanmar,1975,0
Myanmar,1976,0
Myanmar,1977,0
Myanmar,1978,0
Myanmar,1979,0
Myanmar,1980,0
Myanmar,1981,0
Myanmar,1982,0
Myanmar,1983,0
Myanmar,1984,0
Myanmar,1985,0.062633835
Myanmar,1986,0.056956786999999995
Myanmar,1987,0.055972337000000004
Myanmar,1988,0.019295944000000002
Myanmar,1989,0
Myanmar,1990,0
Myanmar,1991,0
Myanmar,1992,0
Myanmar,1993,0
Myanmar,1994,0
Myanmar,1995,0
Myanmar,1996,0
Myanmar,1997,0
Myanmar,1998,0
Myanmar,1999,0
Myanmar,2000,0
Myanmar,2001,0
Myanmar,2002,0
Myanmar,2003,0
Myanmar,2004,0
Myanmar,2005,0
Myanmar,2006,0
Myanmar,2007,0
Myanmar,2008,0
Myanmar,2009,0
Myanmar,2010,0
Myanmar,2011,0
Myanmar,2012,0
Myanmar,2013,0
Myanmar,2014,0
Myanmar,2015,0
Myanmar,2016,0
Myanmar,2017,0
Myanmar,2018,0
Myanmar,2019,0
Myanmar,2020,0
Myanmar,2021,0
Myanmar,2022,0
