Country,Year,Land Use per capita (m²)
Myanmar,1961,2035.4432
Myanmar,1962,2203.2906
Myanmar,1963,2252.3692
Myanmar,1964,2248.9372
Myanmar,1965,2149.9631999999997
Myanmar,1966,1992.0135
Myanmar,1967,2023.7514
Myanmar,1968,1982.3617
Myanmar,1969,1886.2696
Myanmar,1970,1889.3427
Myanmar,1971,1822.9315
Myanmar,1972,1699.4562999999998
Myanmar,1973,1783.5413999999998
Myanmar,1974,1756.6290000000001
Myanmar,1975,1776.485
Myanmar,1976,1706.4678999999999
Myanmar,1977,1664.7585000000001
Myanmar,1978,1679.1496
Myanmar,1979,1484.3468
Myanmar,1980,1572.1725000000001
Myanmar,1981,1544.1355
Myanmar,1982,1428.8712
Myanmar,1983,1475.3614
Myanmar,1984,1431.3969000000002
Myanmar,1985,1410.3167999999998
Myanmar,1986,1381.2875999999999
Myanmar,1987,1288.7871
Myanmar,1988,1274.6386000000002
Myanmar,1989,1314.1853
Myanmar,1990,1302.0964
Myanmar,1991,1244.0658
Myanmar,1992,1352.0874
Myanmar,1993,1429.3944999999999
Myanmar,1994,1476.4713
Myanmar,1995,1526.2055
Myanmar,1996,1446.1641
Myanmar,1997,1405.5978
Myanmar,1998,1404.8123
Myanmar,1999,1568.0348999999999
Myanmar,2000,1566.5768
Myanmar,2001,1573.1044
Myanmar,2002,1555.0388
Myanmar,2003,1576.661
Myanmar,2004,1625.7803000000001
Myanmar,2005,1749.6325
Myanmar,2006,1872.2475
Myanmar,2007,1836.1603000000002
Myanmar,2008,1841.4022
Myanmar,2009,1834.6382999999998
Myanmar,2010,1814.8754999999999
Myanmar,2011,1713.9317
Myanmar,2012,1586.3459
Myanmar,2013,1572.8706
Myanmar,2014,1550.3623
Myanmar,2015,1520.794
Myanmar,2016,1501.8597
Myanmar,2017,1484.5431
Myanmar,2018,1537.8700000000001
Myanmar,2019,1477.3127
Myanmar,2020,1450.0234
Myanmar,2021,1497.0382
Myanmar,2022,1452.8772000000001
