Country,Year,Land Use per capita (m²)
Myanmar,1961,123.49623000000001
Myanmar,1962,130.13389
Myanmar,1963,164.27776000000003
Myanmar,1964,169.09724
Myanmar,1965,149.58694
Myanmar,1966,150.39406
Myanmar,1967,155.385025
Myanmar,1968,139.87803
Myanmar,1969,140.77543
Myanmar,1970,126.37389
Myanmar,1971,118.39532
Myanmar,1972,128.36248999999998
Myanmar,1973,127.30857
Myanmar,1974,115.79078
Myanmar,1975,125.03179999999999
Myanmar,1976,107.68751
Myanmar,1977,105.21444
Myanmar,1978,119.711915
Myanmar,1979,121.90077000000001
Myanmar,1980,117.37362499999999
Myanmar,1981,126.64872000000001
Myanmar,1982,108.68503999999999
Myanmar,1983,95.38659
Myanmar,1984,114.60226
Myanmar,1985,113.79836
Myanmar,1986,110.82619
Myanmar,1987,101.50871000000001
Myanmar,1988,93.08363
Myanmar,1989,81.76874000000001
Myanmar,1990,108.08099999999999
Myanmar,1991,134.48691
Myanmar,1992,175.37305
Myanmar,1993,211.11169999999998
Myanmar,1994,214.68162999999998
Myanmar,1995,257.55484
Myanmar,1996,305.04307
Myanmar,1997,313.19885999999997
Myanmar,1998,298.40156
Myanmar,1999,371.8117
Myanmar,2000,387.01896
Myanmar,2001,401.9461
Myanmar,2002,430.2904
Myanmar,2003,437.93943
Myanmar,2004,437.48796
Myanmar,2005,457.62683999999996
Myanmar,2006,497.83446000000004
Myanmar,2007,523.47317
Myanmar,2008,559.20973
Myanmar,2009,554.71867
Myanmar,2010,548.6831000000001
Myanmar,2011,544.63815
Myanmar,2012,557.1416800000001
Myanmar,2013,594.87265
Myanmar,2014,629.20436
Myanmar,2015,639.8381
Myanmar,2016,634.7043
Myanmar,2017,588.46768
Myanmar,2018,553.9777
Myanmar,2019,548.6262
Myanmar,2020,534.28266
Myanmar,2021,533.4762
Myanmar,2022,528.01244
