Country,Year,Land Use per capita (m²)
Myanmar,1961,6.2076899999999995
Myanmar,1962,4.8520468
Myanmar,1963,10.736864
Myanmar,1964,9.7081356
Myanmar,1965,6.363518
Myanmar,1966,6.871937999999999
Myanmar,1967,6.958325
Myanmar,1968,6.3012310000000005
Myanmar,1969,8.7563595
Myanmar,1970,9.492702
Myanmar,1971,8.9622213
Myanmar,1972,10.11034
Myanmar,1973,7.21541
Myanmar,1974,5.880625
Myanmar,1975,7.038558
Myanmar,1976,8.2934246
Myanmar,1977,8.4646913
Myanmar,1978,8.5500965
Myanmar,1979,7.812801
Myanmar,1980,4.9112854
Myanmar,1981,6.525341
Myanmar,1982,6.994296599999999
Myanmar,1983,6.182202500000001
Myanmar,1984,7.6051214
Myanmar,1985,7.998693
Myanmar,1986,7.106291
Myanmar,1987,6.251116000000001
Myanmar,1988,4.0930556
Myanmar,1989,3.7946878
Myanmar,1990,5.7437044
Myanmar,1991,6.319729000000001
Myanmar,1992,6.2806444
Myanmar,1993,8.136247599999999
Myanmar,1994,8.125259
Myanmar,1995,8.582052
Myanmar,1996,8.2904653
Myanmar,1997,8.414434
Myanmar,1998,7.907236
Myanmar,1999,7.837192
Myanmar,2000,7.9932646
Myanmar,2001,8.08435
Myanmar,2002,9.0360985
Myanmar,2003,8.8014104
Myanmar,2004,9.90738
Myanmar,2005,9.4919855
Myanmar,2006,9.253815
Myanmar,2007,10.857527
Myanmar,2008,11.204716000000001
Myanmar,2009,10.241587999999998
Myanmar,2010,10.32577
Myanmar,2011,10.442914
Myanmar,2012,10.534826
Myanmar,2013,10.718615000000002
Myanmar,2014,10.481192
Myanmar,2015,10.636323
Myanmar,2016,9.837673
Myanmar,2017,9.3558134
Myanmar,2018,8.7760575
Myanmar,2019,8.5684046
Myanmar,2020,8.43042
Myanmar,2021,8.178729299999999
Myanmar,2022,7.8437687
