Country,Year,Land Use per capita (m²)
Myanmar,1961,211.46951
Myanmar,1962,226.87526
Myanmar,1963,261.17751000000004
Myanmar,1964,235.15214999999998
Myanmar,1965,217.81925
Myanmar,1966,208.56733999999997
Myanmar,1967,176.55835000000002
Myanmar,1968,193.07546
Myanmar,1969,224.058
Myanmar,1970,218.3336
Myanmar,1971,248.27195
Myanmar,1972,233.40502999999998
Myanmar,1973,209.10699000000002
Myanmar,1974,214.47107
Myanmar,1975,217.584
Myanmar,1976,213.68341999999998
Myanmar,1977,180.87724
Myanmar,1978,175.00155
Myanmar,1979,159.16202
Myanmar,1980,136.1782
Myanmar,1981,143.55163000000002
Myanmar,1982,159.8453
Myanmar,1983,152.47768
Myanmar,1984,144.84576
Myanmar,1985,168.12278
Myanmar,1986,146.04998
Myanmar,1987,136.67817
Myanmar,1988,129.97207
Myanmar,1989,130.42254
Myanmar,1990,130.63187
Myanmar,1991,115.09729999999999
Myanmar,1992,117.56541
Myanmar,1993,111.56183999999999
Myanmar,1994,117.28479999999999
Myanmar,1995,120.04634999999999
Myanmar,1996,110.06376
Myanmar,1997,101.41985500000001
Myanmar,1998,110.17992000000001
Myanmar,1999,124.34826
Myanmar,2000,128.67948
Myanmar,2001,123.30156
Myanmar,2002,124.85306999999999
Myanmar,2003,139.45377
Myanmar,2004,144.38898
Myanmar,2005,152.97268
Myanmar,2006,157.1171
Myanmar,2007,168.23760000000001
Myanmar,2008,173.23703
Myanmar,2009,176.76594
Myanmar,2010,177.55364999999998
Myanmar,2011,178.14647
Myanmar,2012,181.47863
Myanmar,2013,183.77267
Myanmar,2014,185.89146
Myanmar,2015,184.47611
Myanmar,2016,190.62039
Myanmar,2017,197.7412
Myanmar,2018,200.7902
Myanmar,2019,209.0233
Myanmar,2020,211.76811
Myanmar,2021,220.41675
Myanmar,2022,220.40904
