Country,Year,Land Use per capita (m²)
Myanmar,1961,1.2574818
Myanmar,1962,1.03393446
Myanmar,1963,1.7435933
Myanmar,1964,1.4495854
Myanmar,1965,2.1134868
Myanmar,1966,1.8785175
Myanmar,1967,1.9520416
Myanmar,1968,1.922123
Myanmar,1969,1.7723526
Myanmar,1970,1.9282279999999998
Myanmar,1971,2.3431885
Myanmar,1972,2.2758511
Myanmar,1973,2.2077563
Myanmar,1974,2.3282517
Myanmar,1975,2.5164543
Myanmar,1976,2.7493926
Myanmar,1977,3.0119217000000003
Myanmar,1978,3.0550928
Myanmar,1979,3.1479102
Myanmar,1980,3.6248966
Myanmar,1981,3.6282514
Myanmar,1982,4.0900806
Myanmar,1983,4.5022808
Myanmar,1984,5.93559
Myanmar,1985,6.1435386
Myanmar,1986,5.4444300000000005
Myanmar,1987,4.962968
Myanmar,1988,4.4056500000000005
Myanmar,1989,4.1236365
Myanmar,1990,3.8404416
Myanmar,1991,3.2828964
Myanmar,1992,3.1403222
Myanmar,1993,3.3894653000000003
Myanmar,1994,3.727935
Myanmar,1995,4.1525005
Myanmar,1996,4.1005563
Myanmar,1997,4.6015583
Myanmar,1998,6.454505999999999
Myanmar,1999,9.074491
Myanmar,2000,11.375031
Myanmar,2001,12.048725000000001
Myanmar,2002,12.798772999999999
Myanmar,2003,13.712513000000001
Myanmar,2004,14.191003
Myanmar,2005,14.754485
Myanmar,2006,15.568660000000001
Myanmar,2007,18.96228
Myanmar,2008,20.097485000000002
Myanmar,2009,20.392798
Myanmar,2010,20.565696
Myanmar,2011,14.384914
Myanmar,2012,12.490691
Myanmar,2013,12.065154999999999
Myanmar,2014,11.489367999999999
Myanmar,2015,11.397530999999999
Myanmar,2016,10.926658000000002
Myanmar,2017,9.2194544
Myanmar,2018,8.6816895
Myanmar,2019,8.4567914
Myanmar,2020,7.795677
Myanmar,2021,7.1946793
Myanmar,2022,7.266611
