Country,Year,Land Use per capita (m²)
Myanmar,1961,1915.8131
Myanmar,1962,2050.2475
Myanmar,1963,2101.4026
Myanmar,1964,2096.275
Myanmar,1965,1996.2630000000001
Myanmar,1966,1817.1608
Myanmar,1967,1849.8403999999998
Myanmar,1968,1828.9733999999999
Myanmar,1969,1752.3221999999998
Myanmar,1970,1762.4539
Myanmar,1971,1706.5406
Myanmar,1972,1585.9158
Myanmar,1973,1673.0466
Myanmar,1974,1641.6073000000001
Myanmar,1975,1657.5116
Myanmar,1976,1587.3565
Myanmar,1977,1541.4548
Myanmar,1978,1556.7520000000002
Myanmar,1979,1353.3392999999999
Myanmar,1980,1434.5698000000002
Myanmar,1981,1409.7586000000001
Myanmar,1982,1313.172
Myanmar,1983,1315.2565
Myanmar,1984,1272.4888
Myanmar,1985,1263.7393
Myanmar,1986,1241.791
Myanmar,1987,1172.4896999999999
Myanmar,1988,1164.7803
Myanmar,1989,1198.39706
Myanmar,1990,1187.0456
Myanmar,1991,1124.61634
Myanmar,1992,1226.09496
Myanmar,1993,1312.9829000000002
Myanmar,1994,1356.2782000000002
Myanmar,1995,1406.6741
Myanmar,1996,1328.2213000000002
Myanmar,1997,1229.7386000000001
Myanmar,1998,1226.0708
Myanmar,1999,1378.7033000000001
Myanmar,2000,1383.8385
Myanmar,2001,1393.2544
Myanmar,2002,1371.981
Myanmar,2003,1391.1770000000001
Myanmar,2004,1438.1546
Myanmar,2005,1547.0049999999999
Myanmar,2006,1678.9955
Myanmar,2007,1653.6055999999999
Myanmar,2008,1657.7235
Myanmar,2009,1643.9585000000002
Myanmar,2010,1622.1583
Myanmar,2011,1519.6449
Myanmar,2012,1391.6868
Myanmar,2013,1372.7796
Myanmar,2014,1345.0308
Myanmar,2015,1314.8756
Myanmar,2016,1295.7594
Myanmar,2017,1290.058
Myanmar,2018,1357.4787999999999
Myanmar,2019,1304.859
Myanmar,2020,1278.4708
Myanmar,2021,1309.21
Myanmar,2022,1273.4197
