Country,Year,Land Use per capita (m²)
Myanmar,1961,188.91817
Myanmar,1962,197.23259
Myanmar,1963,200.23922
Myanmar,1964,161.5165
Myanmar,1965,289.50568
Myanmar,1966,192.61021
Myanmar,1967,187.84922
Myanmar,1968,248.00686
Myanmar,1969,210.6954
Myanmar,1970,243.4002
Myanmar,1971,284.16418
Myanmar,1972,244.6011
Myanmar,1973,170.30274000000003
Myanmar,1974,267.00849
Myanmar,1975,216.03214
Myanmar,1976,214.67594
Myanmar,1977,189.60496
Myanmar,1978,188.1826
Myanmar,1979,291.79987
Myanmar,1980,188.46832
Myanmar,1981,209.02755
Myanmar,1982,222.3841
Myanmar,1983,264.10200000000003
Myanmar,1984,212.84162999999998
Myanmar,1985,272.67464
Myanmar,1986,266.44757000000004
Myanmar,1987,208.75379999999998
Myanmar,1988,161.70000000000002
Myanmar,1989,163.10573
Myanmar,1990,230.56265
Myanmar,1991,197.36636
Myanmar,1992,240.52805999999998
Myanmar,1993,226.41646
Myanmar,1994,267.35574
Myanmar,1995,210.83606
Myanmar,1996,233.82729
Myanmar,1997,164.64613
Myanmar,1998,138.27037
Myanmar,1999,213.9258
Myanmar,2000,272.2888
Myanmar,2001,251.9577
Myanmar,2002,272.51733
Myanmar,2003,282.9611
Myanmar,2004,282.62272
Myanmar,2005,248.79249
Myanmar,2006,284.27491
Myanmar,2007,295.37635
Myanmar,2008,293.66206
Myanmar,2009,318.93816
Myanmar,2010,307.58465
Myanmar,2011,307.61150000000004
Myanmar,2012,297.1188
Myanmar,2013,300.98759
Myanmar,2014,286.84024
Myanmar,2015,293.56
Myanmar,2016,288.14457000000004
Myanmar,2017,282.69800000000004
Myanmar,2018,283.25438
Myanmar,2019,283.77771
Myanmar,2020,270.66162
Myanmar,2021,287.74256
Myanmar,2022,283.9187
