Country,Year,Land Use per capita (m²)
Myanmar,1961,1.5439281
Myanmar,1962,6.239731
Myanmar,1963,6.6559855
Myanmar,1964,5.3341035
Myanmar,1965,5.0871086000000005
Myanmar,1966,6.010934
Myanmar,1967,5.80581
Myanmar,1968,6.5262336
Myanmar,1969,6.375593
Myanmar,1970,6.674579
Myanmar,1971,7.0059224
Myanmar,1972,6.7974324
Myanmar,1973,6.938026
Myanmar,1974,6.2570715
Myanmar,1975,6.9195905
Myanmar,1976,6.94927
Myanmar,1977,7.5843127
Myanmar,1978,7.1917253
Myanmar,1979,6.9316785
Myanmar,1980,6.4695935
Myanmar,1981,7.2412577
Myanmar,1982,7.719919
Myanmar,1983,7.50446
Myanmar,1984,7.5448334
Myanmar,1985,7.638074499999999
Myanmar,1986,7.4600085
Myanmar,1987,7.940487
Myanmar,1988,8.5869525
Myanmar,1989,8.489362999999999
Myanmar,1990,7.881134500000001
Myanmar,1991,8.157217
Myanmar,1992,9.0283656
Myanmar,1993,10.458907
Myanmar,1994,14.146925999999999
Myanmar,1995,16.704451
Myanmar,1996,15.750041999999999
Myanmar,1997,17.670311
Myanmar,1998,22.817766
Myanmar,1999,23.899216
Myanmar,2000,25.060421
Myanmar,2001,25.591534
Myanmar,2002,24.988039999999998
Myanmar,2003,28.804909000000002
Myanmar,2004,30.690066
Myanmar,2005,32.646563
Myanmar,2006,32.736254
Myanmar,2007,32.661755
Myanmar,2008,34.13252
Myanmar,2009,34.84119
Myanmar,2010,34.248962
Myanmar,2011,31.614518
Myanmar,2012,31.347800000000003
Myanmar,2013,30.60219
Myanmar,2014,29.555669
Myanmar,2015,28.847821999999997
Myanmar,2016,27.558203000000002
Myanmar,2017,26.725458
Myanmar,2018,26.390452
Myanmar,2019,25.918826
Myanmar,2020,24.567415999999998
Myanmar,2021,24.164427999999997
Myanmar,2022,23.406905000000002
