Country,Year,Land Use per capita (m²)
Myanmar,1961,10.879558999999999
Myanmar,1962,15.822677
Myanmar,1963,25.035880000000002
Myanmar,1964,33.746567
Myanmar,1965,45.850268
Myanmar,1966,61.06288
Myanmar,1967,52.731065
Myanmar,1968,34.077945
Myanmar,1969,20.696952
Myanmar,1970,22.069982
Myanmar,1971,23.010247
Myanmar,1972,17.135428
Myanmar,1973,16.705093
Myanmar,1974,18.192428
Myanmar,1975,28.1137
Myanmar,1976,28.01071
Myanmar,1977,27.564595999999998
Myanmar,1978,28.383499999999998
Myanmar,1979,25.18511
Myanmar,1980,24.536704
Myanmar,1981,30.840137
Myanmar,1982,26.73491
Myanmar,1983,29.066515
Myanmar,1984,37.046897
Myanmar,1985,32.085334
Myanmar,1986,29.511068
Myanmar,1987,28.991317
Myanmar,1988,30.814337
Myanmar,1989,30.69278
Myanmar,1990,32.444997
Myanmar,1991,36.210434
Myanmar,1992,35.230292
Myanmar,1993,27.406232
Myanmar,1994,25.234835
Myanmar,1995,21.234516
Myanmar,1996,20.782584
Myanmar,1997,19.97109
Myanmar,1998,21.545195
Myanmar,1999,23.359271999999997
Myanmar,2000,17.595723
Myanmar,2001,17.236836
Myanmar,2002,17.93558
Myanmar,2003,20.2669
Myanmar,2004,22.739656
Myanmar,2005,23.488580000000002
Myanmar,2006,19.103201000000002
Myanmar,2007,20.298830000000002
Myanmar,2008,20.429727
Myanmar,2009,21.136025999999998
Myanmar,2010,20.565696
Myanmar,2011,19.180019
Myanmar,2012,19.82409
Myanmar,2013,19.975384
Myanmar,2014,19.333912
Myanmar,2015,18.70777
Myanmar,2016,16.678373
Myanmar,2017,12.516746999999999
Myanmar,2018,11.760904
Myanmar,2019,11.098372000000001
Myanmar,2020,10.593338000000001
Myanmar,2021,9.944591
Myanmar,2022,12.920061
