Country,Year,Production per capita (kg)
Myanmar,1961,6.1838194
Myanmar,1962,7.1410644
Myanmar,1963,8.599486
Myanmar,1964,9.162593
Myanmar,1965,7.246711
Myanmar,1966,7.1696686
Myanmar,1967,6.3128853000000005
Myanmar,1968,5.9475999999999996
Myanmar,1969,6.481746
Myanmar,1970,5.523359999999999
Myanmar,1971,5.624226
Myanmar,1972,5.66336
Myanmar,1973,5.297381000000001
Myanmar,1974,5.145883
Myanmar,1975,5.147592599999999
Myanmar,1976,4.217653
Myanmar,1977,5.1561411999999995
Myanmar,1978,6.3084109999999995
Myanmar,1979,6.218128
Myanmar,1980,8.210446
Myanmar,1981,6.980426
Myanmar,1982,7.843398499999999
Myanmar,1983,7.912654
Myanmar,1984,9.900485
Myanmar,1985,9.140202
Myanmar,1986,9.640070000000001
Myanmar,1987,9.478679999999999
Myanmar,1988,8.333274999999999
Myanmar,1989,5.4571587
Myanmar,1990,6.5711453
Myanmar,1991,8.650328
Myanmar,1992,11.756202
Myanmar,1993,13.822049
Myanmar,1994,13.96647
Myanmar,1995,17.551228
Myanmar,1996,22.27602
Myanmar,1997,21.297615
Myanmar,1998,24.206249999999997
Myanmar,1999,27.426552
Myanmar,2000,28.22367
Myanmar,2001,31.207332
Myanmar,2002,34.444750000000006
Myanmar,2003,38.743258000000004
Myanmar,2004,39.354905
Myanmar,2005,45.574103
Myanmar,2006,52.029315
Myanmar,2007,58.08571
Myanmar,2008,66.03805
Myanmar,2009,68.8553
Myanmar,2010,71.47053000000001
Myanmar,2011,75.30948
Myanmar,2012,79.66315
Myanmar,2013,86.87954
Myanmar,2014,59.964459999999995
Myanmar,2015,61.8779
Myanmar,2016,60.842413
Myanmar,2017,54.731872
Myanmar,2018,51.666695999999995
Myanmar,2019,51.216367999999996
Myanmar,2020,49.77695
Myanmar,2021,50.076928
Myanmar,2022,49.15673
