Country,Year,Production per capita (kg)
Myanmar,1961,312.4326
Myanmar,1962,343.74934
Myanmar,1963,342.62237
Myanmar,1964,365.01646
Myanmar,1965,338.75686
Myanmar,1966,274.93483000000003
Myanmar,1967,312.80443
Myanmar,1968,314.88514000000004
Myanmar,1969,304.84657999999996
Myanmar,1970,304.41105
Myanmar,1971,298.06579999999997
Myanmar,1972,262.27668
Myanmar,1973,299.65487
Myanmar,1974,293.52763
Myanmar,1975,309.50546
Myanmar,1976,307.05737999999997
Myanmar,1977,307.1976
Myanmar,1978,334.6225
Myanmar,1979,326.16746
Myanmar,1980,408.79458
Myanmar,1981,427.17767000000003
Myanmar,1982,427.10936
Myanmar,1983,424.11986
Myanmar,1984,413.72346999999996
Myanmar,1985,408.52070000000003
Myanmar,1986,395.55687
Myanmar,1987,371.9364
Myanmar,1988,351.1155
Myanmar,1989,361.08765
Myanmar,1990,359.69912999999997
Myanmar,1991,335.83462
Myanmar,1992,371.6141
Myanmar,1993,412.06926
Myanmar,1994,441.5166
Myanmar,1995,430.41557
Myanmar,1996,419.11528
Myanmar,1997,395.3988
Myanmar,1998,399.2817
Myanmar,1999,464.63668
Myanmar,2000,485.70502
Myanmar,2001,496.71813999999995
Myanmar,2002,491.48735
Myanmar,2003,518.0911
Myanmar,2004,550.07666
Myanmar,2005,611.2733000000001
Myanmar,2006,675.8899
Myanmar,2007,683.6940999999999
Myanmar,2008,704.30523
Myanmar,2009,704.3154000000001
Myanmar,2010,699.67526
Myanmar,2011,624.45384
Myanmar,2012,572.7536
Myanmar,2013,573.47685
Myanmar,2014,572.1074000000001
Myanmar,2015,564.3544
Myanmar,2016,549.63434
Myanmar,2017,545.05616
Myanmar,2018,578.4353
Myanmar,2019,548.7172999999999
Myanmar,2020,540.5143999999999
Myanmar,2021,560.43303
Myanmar,2022,502.21760000000006
