Country,Year,Production per capita (kg)
Myanmar,1961,1.6132428
Myanmar,1962,2.0251371999999996
Myanmar,1963,3.1240780000000004
Myanmar,1964,3.2718249999999998
Myanmar,1965,2.2615092000000003
Myanmar,1966,1.9805906000000002
Myanmar,1967,1.7231896
Myanmar,1968,2.0221455
Myanmar,1969,3.0435326000000003
Myanmar,1970,2.2380052
Myanmar,1971,2.5462338
Myanmar,1972,3.1803424999999996
Myanmar,1973,2.1006088000000003
Myanmar,1974,1.8543329999999998
Myanmar,1975,2.2085874999999997
Myanmar,1976,2.2069797999999996
Myanmar,1977,2.9968684999999997
Myanmar,1978,3.1426474
Myanmar,1979,2.904992
Myanmar,1980,1.1371317
Myanmar,1981,2.9992294
Myanmar,1982,4.4783647
Myanmar,1983,3.5484430000000002
Myanmar,1984,4.792775
Myanmar,1985,3.7318377
Myanmar,1986,4.5358096
Myanmar,1987,4.0076979999999995
Myanmar,1988,4.2219524999999996
Myanmar,1989,1.8637906
Myanmar,1990,2.5202522999999997
Myanmar,1991,2.6990792000000003
Myanmar,1992,2.3982845999999998
Myanmar,1993,1.4190574
Myanmar,1994,1.7951154
Myanmar,1995,2.1315205
Myanmar,1996,2.0472845
Myanmar,1997,2.0217383
Myanmar,1998,1.5005777
Myanmar,1999,1.840519
Myanmar,2000,2.5780473
Myanmar,2001,4.142143
Myanmar,2002,4.4857776
Myanmar,2003,4.7800397
Myanmar,2004,4.9684774
Myanmar,2005,5.454225
Myanmar,2006,6.856141
Myanmar,2007,7.181243
Myanmar,2008,8.159332000000001
Myanmar,2009,8.862442
Myanmar,2010,9.301291999999998
Myanmar,2011,9.350425000000001
Myanmar,2012,10.297065
Myanmar,2013,11.100069000000001
Myanmar,2014,11.174325000000001
Myanmar,2015,11.100545499999999
Myanmar,2016,10.779815999999999
Myanmar,2017,10.074242
Myanmar,2018,10.150806
Myanmar,2019,9.416213999999998
Myanmar,2020,9.022017
Myanmar,2021,8.599358
Myanmar,2022,8.259611
