Country,Year,Production per capita (kg)
Myanmar,1961,16.751396000000003
Myanmar,1962,17.34468
Myanmar,1963,18.604402999999998
Myanmar,1964,14.191108
Myanmar,1965,14.123057
Myanmar,1966,11.585652999999999
Myanmar,1967,10.879389
Myanmar,1968,14.242754999999999
Myanmar,1969,14.946614
Myanmar,1970,16.25627
Myanmar,1971,18.966572
Myanmar,1972,17.003142999999998
Myanmar,1973,13.1616425
Myanmar,1974,13.843737
Myanmar,1975,15.381349
Myanmar,1976,13.277882
Myanmar,1977,13.400738
Myanmar,1978,14.42645
Myanmar,1979,11.88723
Myanmar,1980,10.22552
Myanmar,1981,12.829514999999999
Myanmar,1982,16.493646000000002
Myanmar,1983,15.524922
Myanmar,1984,14.700534
Myanmar,1985,18.07412
Myanmar,1986,14.908093000000001
Myanmar,1987,14.227775999999999
Myanmar,1988,13.365014
Myanmar,1989,11.096214
Myanmar,1990,11.434266000000001
Myanmar,1991,9.151796000000001
Myanmar,1992,10.3254765
Myanmar,1993,10.160738
Myanmar,1994,11.639906
Myanmar,1995,13.605351
Myanmar,1996,12.677503999999999
Myanmar,1997,12.082673
Myanmar,1998,12.420201
Myanmar,1999,13.849406
Myanmar,2000,15.799873
Myanmar,2001,14.39536
Myanmar,2002,16.00035
Myanmar,2003,18.406243999999997
Myanmar,2004,19.671115999999998
Myanmar,2005,21.433448000000002
Myanmar,2006,22.622978
Myanmar,2007,24.815436
Myanmar,2008,26.353657
Myanmar,2009,27.348304
Myanmar,2010,27.739879
Myanmar,2011,27.663681999999998
Myanmar,2012,28.443873
Myanmar,2013,28.91704
Myanmar,2014,29.401379
Myanmar,2015,29.482972
Myanmar,2016,30.301325000000002
Myanmar,2017,30.26774
Myanmar,2018,29.666722
Myanmar,2019,30.462077
Myanmar,2020,29.871367
Myanmar,2021,31.80799
Myanmar,2022,32.141007
