Country,Year,Production per capita (kg)
Myanmar,1961,2.472357
Myanmar,1962,2.9238714
Myanmar,1963,3.1930117
Myanmar,1964,2.2491111999999998
Myanmar,1965,1.9494888
Myanmar,1966,2.2524507
Myanmar,1967,2.6759007
Myanmar,1968,2.3752388
Myanmar,1969,1.7857811
Myanmar,1970,1.7398767
Myanmar,1971,2.05775
Myanmar,1972,1.9559080000000002
Myanmar,1973,2.1215924
Myanmar,1974,2.1856392000000002
Myanmar,1975,2.0224238
Myanmar,1976,1.8848869
Myanmar,1977,2.385991
Myanmar,1978,2.3920012
Myanmar,1979,3.8540266
Myanmar,1980,4.9706595
Myanmar,1981,6.0412026999999995
Myanmar,1982,6.884892
Myanmar,1983,8.738529
Myanmar,1984,8.387951
Myanmar,1985,8.101673
Myanmar,1986,7.60083
Myanmar,1987,5.8506
Myanmar,1988,4.965232
Myanmar,1989,4.9058716
Myanmar,1990,4.6639916999999995
Myanmar,1991,4.6238326
Myanmar,1992,4.971166
Myanmar,1993,4.819530500000001
Myanmar,1994,6.611221
Myanmar,1995,6.3059423
Myanmar,1996,6.4803804000000005
Myanmar,1997,6.8998360000000005
Myanmar,1998,6.691947600000001
Myanmar,1999,7.628496
Myanmar,2000,7.881271000000001
Myanmar,2001,11.387633
Myanmar,2002,12.766717
Myanmar,2003,14.766337
Myanmar,2004,16.289087000000002
Myanmar,2005,18.931586
Myanmar,2006,21.123651
Myanmar,2007,23.285888
Myanmar,2008,24.311771999999998
Myanmar,2009,25.006205
Myanmar,2010,27.422007
Myanmar,2011,29.350614
Myanmar,2012,29.901512
Myanmar,2013,31.602221999999998
Myanmar,2014,33.156827
Myanmar,2015,33.962037
Myanmar,2016,35.27747
Myanmar,2017,36.514725999999996
Myanmar,2018,37.673943
Myanmar,2019,37.43886
Myanmar,2020,38.793672
Myanmar,2021,42.272877
Myanmar,2022,38.76018
