Country,Year,Production per capita (kg)
Myanmar,1961,1.5513145
Myanmar,1962,2.2477831000000004
Myanmar,1963,2.3676162
Myanmar,1964,1.7162062999999999
Myanmar,1965,1.8951384
Myanmar,1966,1.4348589999999999
Myanmar,1967,1.7016488
Myanmar,1968,2.0483704
Myanmar,1969,1.9569772
Myanmar,1970,1.808488
Myanmar,1971,1.3869627
Myanmar,1972,1.4089052999999998
Myanmar,1973,1.3060015999999999
Myanmar,1974,1.4214537
Myanmar,1975,1.2973119999999998
Myanmar,1976,1.6180273
Myanmar,1977,1.8861588
Myanmar,1978,1.7662245
Myanmar,1979,2.2899127
Myanmar,1980,2.3794752
Myanmar,1981,2.4881781999999997
Myanmar,1982,2.5097437
Myanmar,1983,7.944807
Myanmar,1984,4.5578736
Myanmar,1985,5.841431999999999
Myanmar,1986,6.135577
Myanmar,1987,3.6146621999999997
Myanmar,1988,2.9094424
Myanmar,1989,2.938838
Myanmar,1990,3.1533516
Myanmar,1991,2.8957333
Myanmar,1992,3.2761196999999997
Myanmar,1993,3.395687
Myanmar,1994,2.8532885
Myanmar,1995,3.4328208
Myanmar,1996,3.3990907999999997
Myanmar,1997,3.7387377
Myanmar,1998,3.3156478
Myanmar,1999,3.6876984
Myanmar,2000,3.6496718
Myanmar,2001,3.3902115999999998
Myanmar,2002,3.5047154
Myanmar,2003,3.6931827
Myanmar,2004,3.75382
Myanmar,2005,4.3730186
Myanmar,2006,4.2609140000000005
Myanmar,2007,3.8765090000000004
Myanmar,2008,3.8990772
Myanmar,2009,4.2822897
Myanmar,2010,4.304429
Myanmar,2011,4.402090299999999
Myanmar,2012,4.191707999999999
Myanmar,2013,4.444371
Myanmar,2014,4.675712
Myanmar,2015,4.6674735
Myanmar,2016,4.6899784
Myanmar,2017,4.004659
Myanmar,2018,3.1779886
Myanmar,2019,2.8614327
Myanmar,2020,2.7317344
Myanmar,2021,2.7882029999999998
Myanmar,2022,2.6762984
