Country,Year,Production per capita (kg)
Myanmar,1961,307.79928
Myanmar,1962,337.65647
Myanmar,1963,335.31535
Myanmar,1964,358.40273
Myanmar,1965,331.66468
Myanmar,1966,267.00780000000003
Myanmar,1967,305.40055
Myanmar,1968,308.05036
Myanmar,1969,299.50693
Myanmar,1970,299.14471999999995
Myanmar,1971,292.85377
Myanmar,1972,257.6636
Myanmar,1973,294.93552
Myanmar,1974,288.49884999999995
Myanmar,1975,303.44102
Myanmar,1976,301.19213
Myanmar,1977,299.86113
Myanmar,1978,327.1121
Myanmar,1979,318.3222
Myanmar,1980,397.94078
Myanmar,1981,414.73353000000003
Myanmar,1982,413.71121999999997
Myanmar,1983,403.34213
Myanmar,1984,394.23566999999997
Myanmar,1985,388.19550000000004
Myanmar,1986,375.9973
Myanmar,1987,356.71641999999997
Myanmar,1988,338.76216
Myanmar,1989,349.62532000000004
Myanmar,1990,348.4278
Myanmar,1991,324.52862999999996
Myanmar,1992,359.7427
Myanmar,1993,400.99737000000005
Myanmar,1994,429.69394
Myanmar,1995,418.60825
Myanmar,1996,406.99276000000003
Myanmar,1997,378.67226999999997
Myanmar,1998,383.56835
Myanmar,1999,446.74212
Myanmar,2000,468.17692999999997
Myanmar,2001,476.19432
Myanmar,2002,469.13376
Myanmar,2003,493.03797
Myanmar,2004,522.8514
Myanmar,2005,580.065
Myanmar,2006,643.0565
Myanmar,2007,649.1977599999999
Myanmar,2008,668.43575
Myanmar,2009,666.7487
Myanmar,2010,659.63453
Myanmar,2011,582.59416
Myanmar,2012,530.4412
Myanmar,2013,529.046
Myanmar,2014,525.6867
Myanmar,2015,517.2620999999999
Myanmar,2016,502.67713999999995
Myanmar,2017,497.92743
Myanmar,2018,531.95786
Myanmar,2019,503.2295
Myanmar,2020,494.15985
Myanmar,2021,510.02369999999996
Myanmar,2022,455.5281
