Country,Year,Production per capita (kg)
Myanmar,1961,2.9157181
Myanmar,1962,3.3691197
Myanmar,1963,3.6581424
Myanmar,1964,2.2684473
Myanmar,1965,4.1339193000000005
Myanmar,1966,2.3247106
Myanmar,1967,2.2252724
Myanmar,1968,4.143929999999999
Myanmar,1969,3.1177276
Myanmar,1970,3.7276999
Myanmar,1971,4.7325170000000005
Myanmar,1972,3.973073
Myanmar,1973,2.4241775000000003
Myanmar,1974,5.202854500000001
Myanmar,1975,3.1354837
Myanmar,1976,4.34192
Myanmar,1977,2.9321550000000003
Myanmar,1978,3.4519162
Myanmar,1979,6.384694
Myanmar,1980,3.2851766000000002
Myanmar,1981,4.607375
Myanmar,1982,5.174945
Myanmar,1983,5.5920705
Myanmar,1984,5.717945
Myanmar,1985,6.854853
Myanmar,1986,6.6066147
Myanmar,1987,5.2007977
Myanmar,1988,4.372641
Myanmar,1989,3.667793
Myanmar,1990,5.1579624
Myanmar,1991,4.1272803
Myanmar,1992,5.659854500000001
Myanmar,1993,5.259845
Myanmar,1994,7.0694475
Myanmar,1995,6.968253
Myanmar,1996,7.7999462
Myanmar,1997,5.883280999999999
Myanmar,1998,3.594198
Myanmar,1999,5.6214645
Myanmar,2000,8.252387
Myanmar,2001,7.3671904
Myanmar,2002,8.732744
Myanmar,2003,9.295824
Myanmar,2004,10.010890999999999
Myanmar,2005,9.188158
Myanmar,2006,12.7577875
Myanmar,2007,14.471886999999999
Myanmar,2008,17.238025
Myanmar,2009,16.11928
Myanmar,2010,15.942179000000001
Myanmar,2011,16.71067
Myanmar,2012,15.822949999999999
Myanmar,2013,16.132811
Myanmar,2014,15.695354000000002
Myanmar,2015,16.087925
Myanmar,2016,15.666123
Myanmar,2017,14.6174645
Myanmar,2018,13.5844145
Myanmar,2019,14.036482
Myanmar,2020,12.316614999999999
Myanmar,2021,13.733146
Myanmar,2022,14.044581
