Country,Year,Production per capita (kg)
Myanmar,1961,0
Myanmar,1962,0
Myanmar,1963,0
Myanmar,1964,0
Myanmar,1965,0
Myanmar,1966,0
Myanmar,1967,0
Myanmar,1968,0
Myanmar,1969,0
Myanmar,1970,0
Myanmar,1971,0
Myanmar,1972,0
Myanmar,1973,0
Myanmar,1974,0
Myanmar,1975,0
Myanmar,1976,0
Myanmar,1977,0
Myanmar,1978,0
Myanmar,1979,0
Myanmar,1980,0
Myanmar,1981,0
Myanmar,1982,0
Myanmar,1983,0
Myanmar,1984,0
Myanmar,1985,0
Myanmar,1986,0
Myanmar,1987,0
Myanmar,1988,0
Myanmar,1989,0
Myanmar,1990,0
Myanmar,1991,0
Myanmar,1992,0
Myanmar,1993,0
Myanmar,1994,0
Myanmar,1995,0
Myanmar,1996,0
Myanmar,1997,3.729641
Myanmar,1998,3.3246332
Myanmar,1999,3.6854784
Myanmar,2000,3.64528
Myanmar,2001,3.3902115999999998
Myanmar,2002,3.5068669999999997
Myanmar,2003,3.6867894
Myanmar,2004,3.7601573999999998
Myanmar,2005,4.3793046
Myanmar,2006,4.262993
Myanmar,2007,3.8806372
Myanmar,2008,3.8990772
Myanmar,2009,4.3512876
Myanmar,2010,4.3731051999999995
Myanmar,2011,4.4718366000000005
Myanmar,2012,4.461672
Myanmar,2013,4.523784399999999
Myanmar,2014,4.7511854
Myanmar,2015,4.7429716
Myanmar,2016,4.765243
Myanmar,2017,4.0047267
Myanmar,2018,3.1780456000000004
Myanmar,2019,2.8614139
Myanmar,2020,2.6165782
Myanmar,2021,3.2599245000000003
Myanmar,2022,3.1721834
