Country,Year,Production per capita (kg)
Myanmar,1961,0.05125409
Myanmar,1962,0.47000626
Myanmar,1963,0.48292408
Myanmar,1964,0.33250733
Myanmar,1965,0.30423835
Myanmar,1966,0.36709345000000004
Myanmar,1967,0.35153257
Myanmar,1968,0.4057346
Myanmar,1969,0.40019532999999996
Myanmar,1970,0.4655089
Myanmar,1971,0.4551324
Myanmar,1972,0.45524025
Myanmar,1973,0.47031828000000003
Myanmar,1974,0.39274752
Myanmar,1975,0.4428841
Myanmar,1976,0.40179202999999997
Myanmar,1977,0.5242024
Myanmar,1978,0.49143090000000006
Myanmar,1979,0.47885890000000003
Myanmar,1980,0.4489063
Myanmar,1981,0.50460134
Myanmar,1982,0.55467937
Myanmar,1983,0.5810141400000001
Myanmar,1984,0.61034557
Myanmar,1985,0.6362622
Myanmar,1986,0.60776086
Myanmar,1987,0.7065331
Myanmar,1988,0.70080295
Myanmar,1989,0.68258797
Myanmar,1990,0.63629134
Myanmar,1991,0.6514171
Myanmar,1992,0.7226378
Myanmar,1993,0.80405275
Myanmar,1994,1.155015
Myanmar,1995,1.5088554
Myanmar,1996,1.4162879000000002
Myanmar,1997,1.6692418
Myanmar,1998,1.8847076
Myanmar,1999,2.1624432000000002
Myanmar,2000,2.3826077
Myanmar,2001,2.5796033
Myanmar,2002,2.6247716
Myanmar,2003,3.1220499999999998
Myanmar,2004,3.3334428000000003
Myanmar,2005,3.8952762
Myanmar,2006,4.175654
Myanmar,2007,4.4090644999999995
Myanmar,2008,4.9251499999999995
Myanmar,2009,5.1758783
Myanmar,2010,5.152762
Myanmar,2011,3.2513612
Myanmar,2012,3.2378703
Myanmar,2013,3.170884
Myanmar,2014,3.0642753000000003
Myanmar,2015,2.9970502999999997
Myanmar,2016,2.8748938
Myanmar,2017,2.7819776
Myanmar,2018,2.7288434
Myanmar,2019,2.676064
Myanmar,2020,2.5294628
Myanmar,2021,2.4845493
Myanmar,2022,2.4220203000000002
