Country,Year,Production per capita (kg)
Myanmar,1961,0.3349081
Myanmar,1962,0.65247563
Myanmar,1963,1.3974166000000001
Myanmar,1964,2.2819279999999997
Myanmar,1965,2.955217
Myanmar,1966,3.8735925
Myanmar,1967,2.6253897
Myanmar,1968,1.9639367
Myanmar,1969,0.9694862000000001
Myanmar,1970,1.2248884
Myanmar,1971,1.4364702
Myanmar,1972,0.9422822
Myanmar,1973,0.9152983
Myanmar,1974,0.8286519
Myanmar,1975,2.0949582
Myanmar,1976,1.8278435
Myanmar,1977,2.4209777000000003
Myanmar,1978,2.910991
Myanmar,1979,1.26867
Myanmar,1980,2.714773
Myanmar,1981,3.4231215
Myanmar,1982,3.566602
Myanmar,1983,3.670958
Myanmar,1984,5.9059159999999995
Myanmar,1985,5.592903
Myanmar,1986,5.055154
Myanmar,1987,5.015409
Myanmar,1988,4.0358366000000006
Myanmar,1989,3.295516
Myanmar,1990,3.0964682999999997
Myanmar,1991,3.4684888
Myanmar,1992,3.3076442999999998
Myanmar,1993,2.5581321999999997
Myanmar,1994,2.0714686
Myanmar,1995,1.7887049
Myanmar,1996,1.9666826999999998
Myanmar,1997,2.0626734
Myanmar,1998,2.0666640000000003
Myanmar,1999,2.5598533
Myanmar,2000,2.0224715
Myanmar,2001,2.0515127
Myanmar,2002,2.2740848
Myanmar,2003,2.6084569
Myanmar,2004,3.1686719
Myanmar,2005,3.272954
Myanmar,2006,2.9154716
Myanmar,2007,3.205654
Myanmar,2008,3.4968564
Myanmar,2009,3.6559612
Myanmar,2010,3.6646360000000002
Myanmar,2011,3.4100132
Myanmar,2012,3.5365666
Myanmar,2013,3.6111749
Myanmar,2014,3.571398
Myanmar,2015,3.4826384
Myanmar,2016,1.9778637000000001
Myanmar,2017,2.3571574
Myanmar,2018,2.2024738000000004
Myanmar,2019,2.0863981999999996
Myanmar,2020,1.9739927000000002
Myanmar,2021,1.851497
Myanmar,2022,1.8457229
