name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype/0,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,sunsetEpoch,stations/4,stations/3,source,stations/0,stations/6,stations/1,datetimeEpoch,sunriseEpoch,stations/5,stations/2
india,2018-01-01,68.0,42.8,54.5,68.0,42.8,54.3,48.3,82.5,0.0,0,0.0,,0,0,11.9,5.8,296.6,1014.3,13.9,0.4,163.3,14.1,6,,2018-01-01T07:13:59,2018-01-01T17:35:16,0.47,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-02,63.4,46.4,53.3,63.4,44.2,52.8,48.7,85.5,0.0,0,0.0,,0,0,13.0,5.8,287.9,1014.8,0.0,0.4,163.3,14.1,6,,2018-01-02T07:14:13,2018-01-02T17:35:58,0.5,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-03,63.1,46.4,52.0,63.1,42.9,51.1,47.8,86.6,0.0,0,0.0,,0,0,13.9,6.9,271.0,1015.4,13.9,0.3,168.8,14.6,6,,2018-01-03T07:14:27,2018-01-03T17:36:41,0.54,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-04,68.3,41.0,51.6,68.3,37.9,51.1,46.9,86.2,0.0,0,0.0,,0,0,10.7,8.1,120.7,1015.5,44.2,0.3,169.7,14.7,6,,2018-01-04T07:14:39,2018-01-04T17:37:24,0.57,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-05,66.2,45.4,53.0,66.2,43.1,52.1,46.5,81.0,0.0,0,0.0,,0,0,10.7,6.9,112.3,1015.0,3.8,0.5,166.9,14.4,6,,2018-01-05T07:14:49,2018-01-05T17:38:08,0.61,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-06,66.2,41.0,52.2,66.2,39.1,51.9,45.1,79.6,0.0,0,0.0,,0,0,13.4,6.9,277.4,1014.1,4.9,0.4,169.2,14.5,6,,2018-01-06T07:14:58,2018-01-06T17:38:53,0.64,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-07,68.2,42.8,53.8,68.2,40.0,53.1,44.2,73.3,0.0,0,0.0,,0,0,20.6,12.8,270.6,1014.9,8.3,0.9,173.3,15.1,7,,2018-01-07T07:15:05,2018-01-07T17:39:39,0.67,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-08,68.9,42.8,54.1,68.9,41.1,53.6,43.3,70.1,0.0,0,0.0,,0,0,16.1,8.1,265.4,1016.7,0.0,0.9,175.0,15.2,7,,2018-01-08T07:15:10,2018-01-08T17:40:25,0.71,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-09,70.2,42.9,54.7,70.2,42.9,54.6,44.8,72.3,0.0,0,0.0,,0,0,16.3,10.3,274.3,1018.8,0.0,0.8,176.6,15.3,7,,2018-01-09T07:15:14,2018-01-09T17:41:12,0.75,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-10,73.0,44.6,56.8,73.0,41.3,56.2,44.8,68.2,0.0,0,0.0,,0,0,21.7,14.3,269.7,1018.4,0.0,1.0,177.9,15.4,7,,2018-01-10T07:15:17,2018-01-10T17:41:59,0.77,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-11,72.1,44.6,56.9,72.1,42.1,56.2,44.4,66.8,0.0,0,0.0,,0,0,22.6,13.8,270.7,1016.9,0.0,1.1,177.1,15.3,7,,2018-01-11T07:15:17,2018-01-11T17:42:47,0.81,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-12,73.4,46.4,58.4,73.4,45.2,58.2,44.4,63.0,0.0,0,0.0,,0,0,18.6,9.4,267.3,1015.8,21.0,1.2,172.3,14.9,7,,2018-01-12T07:15:17,2018-01-12T17:43:35,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-13,73.5,45.3,57.8,73.5,45.3,57.8,44.3,65.7,0.0,0,0.0,,0,0,16.6,10.8,289.3,1016.1,1.1,1.1,179.8,15.6,7,,2018-01-13T07:15:14,2018-01-13T17:44:24,0.87,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-14,74.6,45.6,57.7,74.6,45.2,57.6,43.1,62.7,0.0,0,0.0,,0,0,17.9,10.3,266.8,1016.0,0.0,1.2,180.7,15.6,7,,2018-01-14T07:15:10,2018-01-14T17:45:12,0.91,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-15,73.2,44.6,57.0,73.2,43.5,56.8,45.9,70.2,0.0,0,0.0,,0,0,20.8,14.0,279.6,1016.1,0.0,1.0,183.1,15.8,7,,2018-01-15T07:15:05,2018-01-15T17:46:02,0.94,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-16,75.6,46.4,59.3,75.6,42.9,58.6,43.0,58.8,0.0,0,0.0,,0,0,17.0,9.2,275.4,1013.6,0.0,1.4,185.8,16.1,7,,2018-01-16T07:14:57,2018-01-16T17:46:51,0.97,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-17,71.8,45.6,57.9,71.8,45.6,57.5,47.1,70.8,0.0,0,0.0,,0,0,16.8,9.2,113.4,1014.6,0.0,0.9,178.6,15.6,7,,2018-01-17T07:14:48,2018-01-17T17:47:41,0.0,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-18,79.9,48.2,62.0,79.9,48.2,62.0,51.5,73.2,0.0,0,0.0,,0,0,11.4,8.1,272.0,1015.1,0.0,0.7,178.9,15.6,7,,2018-01-18T07:14:38,2018-01-18T17:48:31,0.04,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-19,74.9,42.8,59.2,74.9,40.0,59.1,51.9,80.0,0.0,0,0.0,,0,0,17.0,10.3,276.4,1016.0,4.9,0.5,182.2,15.6,7,,2018-01-19T07:14:26,2018-01-19T17:49:21,0.08,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-20,72.1,46.4,56.9,72.1,44.2,56.4,47.0,73.3,0.0,0,0.0,,0,0,19.5,12.8,274.0,1015.1,13.9,0.7,187.3,16.2,7,,2018-01-20T07:14:12,2018-01-20T17:50:11,0.11,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-21,76.3,41.0,57.8,76.3,41.0,57.8,43.0,64.7,0.0,0,0.0,,0,0,11.2,8.1,279.6,1014.4,0.2,1.5,189.3,16.3,7,,2018-01-21T07:13:57,2018-01-21T17:51:02,0.14,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-22,76.3,45.4,59.7,76.3,45.4,59.7,46.6,66.6,0.0,0,0.0,,0,0,10.3,6.9,134.9,1013.0,0.0,0.9,188.6,16.3,7,,2018-01-22T07:13:40,2018-01-22T17:51:52,0.18,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-23,62.6,51.0,56.3,62.6,51.0,56.3,51.1,83.3,0.138,100,8.33,rain,0,0,23.0,11.4,103.4,1010.7,65.9,0.8,99.0,8.4,4,,2018-01-23T07:13:22,2018-01-23T17:52:43,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-24,63.5,49.6,54.6,63.5,48.4,54.5,51.3,89.1,0.0,0,0.0,,0,0,11.9,9.2,268.7,1013.5,21.0,0.5,140.9,12.1,6,,2018-01-24T07:13:02,2018-01-24T17:53:33,0.25,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-25,63.2,48.2,53.2,63.2,45.0,52.2,51.2,93.3,0.0,0,0.0,,0,0,20.4,9.7,262.1,1013.1,41.5,0.3,185.7,16.2,7,,2018-01-25T07:12:40,2018-01-25T17:54:23,0.25,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-26,63.8,48.2,53.1,63.8,46.3,52.7,50.0,90.4,0.0,0,0.0,,0,0,17.2,6.9,297.4,1013.7,38.2,0.3,183.3,15.9,7,,2018-01-26T07:12:17,2018-01-26T17:55:14,0.32,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-27,67.4,48.0,54.7,67.4,45.6,54.1,48.3,82.0,0.0,0,0.0,,0,0,15.2,6.1,298.7,1013.9,9.3,0.6,191.7,16.4,7,,2018-01-27T07:11:52,2018-01-27T17:56:04,0.35,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-28,70.6,44.6,55.5,70.6,41.3,54.8,46.9,77.8,0.0,0,0.0,,0,0,17.4,8.1,286.5,1014.6,26.0,0.6,193.5,16.7,7,,2018-01-28T07:11:26,2018-01-28T17:56:54,0.39,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
india,2018-01-29,73.4,44.6,56.9,73.4,44.6,56.7,46.9,74.8,0.0,0,0.0,,0,0,17.9,9.2,289.9,1016.1,9.1,0.9,195.1,16.8,7,,2018-01-29T07:10:59,2018-01-29T17:57:44,0.42,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42139099999,42181099999,remote",,,,,0,,0,0,,,
india,2018-01-30,79.4,48.2,62.4,79.4,46.3,62.2,48.1,64.6,0.0,0,0.0,,0,0,25.7,13.9,279.6,1015.5,8.2,1.2,192.1,16.6,7,,2018-01-30T07:10:30,2018-01-30T17:58:34,0.46,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999",,,,,0,,0,0,,,
