datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype/0,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations/0,stations/1,stations/2,stations/3,stations/4,source,stations/5,stations/6
2020-01-01,1577817000,67.3,38.7,51.9,67.3,38.6,51.6,45.2,80.8,0,0,0,,0,0,13.2,9.2,79.2,1021,28.1,0.6,154.6,13.2,6,07:13:52,1577843032,17:34:57,1577880297,0.19,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-02,1577903400,71.1,43.5,57.1,71.1,43.5,57.1,48.2,76.3,0,0,0,,0,0,17.4,5.8,63,1020.8,30.9,0.7,153.9,13.3,6,07:14:07,1577929447,17:35:38,1577966738,0.23,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-03,1577989800,71.6,48.8,59.5,71.6,48.8,59.5,51.1,77.3,0,0,0,,0,0,10.7,8.1,90.2,1018.3,32.7,0.9,147.8,12.5,6,07:14:22,1578015862,17:36:21,1578053181,0.25,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-04,1578076200,70.1,48.9,57.7,70.1,48.9,57.7,50.2,78,0,0,0,,0,0,11.9,9.2,281.7,1017.5,25,0.7,148.3,12.9,6,07:14:34,1578102274,17:37:04,1578139624,0.29,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,
2020-01-05,1578162600,68.4,47.4,57.5,68.4,47.4,57.5,47.9,73.1,0,0,0,,0,0,17.2,10.3,274.1,1017.9,44.2,1,161.5,13.9,6,07:14:45,1578188685,17:37:48,1578226068,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-06,1578249000,66.1,51.8,57.9,66.1,51.8,57.9,49.9,76.8,0,0,0,,0,0,13.6,8.1,21.4,1018.8,68.8,0.8,72.7,6.4,3,07:14:55,1578275095,17:38:32,1578312512,0.35,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,
2020-01-07,1578335400,64.4,55.4,59.3,64.4,55.4,59.3,54.1,83.6,0.137,100,4.17,rain,0,0,16.1,9.2,93.4,1016.3,70.5,1,101.4,8.7,5,07:15:03,1578361503,17:39:17,1578398957,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-08,1578421800,57.6,51.8,55.5,57.6,51.8,55.5,54,94.8,0.686,100,12.5,rain,0,0,17.9,11.4,336.2,1014.5,76.5,0.7,60.2,5.3,3,07:15:09,1578447909,17:40:03,1578485403,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-09,1578508200,57.3,46.4,51.6,57.3,43.7,50.2,48.2,89.1,0,0,0,,0,0,19,10.3,286.1,1019.3,38.5,0.7,172.6,15,6,07:15:14,1578534314,17:40:50,1578571850,0.45,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,remote,
2020-01-10,1578594600,62.7,42.8,51.3,62.7,38.5,50.1,46.2,84.6,0,0,0,,0,0,19.2,9.6,275.3,1019.8,30.6,0.5,176.2,15.3,7,07:15:17,1578620717,17:41:37,1578658297,0.48,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,remote,
2020-01-11,1578681000,66.2,44.5,53.7,66.2,43.5,53.4,45.5,76.9,0,0,0,,0,0,15.4,9.2,263.2,1019.4,29.7,1.1,154.7,13.3,7,07:15:18,1578707118,17:42:24,1578744744,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-12,1578767400,71.3,47,56.9,71.3,45.7,56.7,47.7,74.8,0,0,0,,0,0,13.9,8.1,260.4,1016.2,24.6,0.9,169,14.5,6,07:15:18,1578793518,17:43:12,1578831192,0.55,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-13,1578853800,69.8,49.1,59,69.8,49.1,59,52.3,80.1,0.033,100,4.17,rain,0,0,22.6,11.9,130,1011.6,57.9,0.8,128.5,11.1,5,07:15:17,1578879917,17:44:00,1578917640,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote
2020-01-14,1578940200,61.1,50,55.9,61.1,47.7,55.8,52.8,89.7,0,0,0,,0,0,11.4,8.1,313.2,1015.4,35.5,0.9,93.5,7.9,5,07:15:13,1578966313,17:44:49,1579004089,0.62,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,
2020-01-15,1579026600,66.5,46.6,55.7,66.5,45.8,55.7,50.9,85.2,0,0,0,,0,0,12.1,6.9,320.5,1016.3,30,0.9,168.1,14.6,7,07:15:08,1579052708,17:45:38,1579090538,0.66,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-16,1579113000,59.5,46.4,54,59.5,44.2,53.8,51.1,90.1,0.159,100,16.67,rain,0,0,21.3,6.9,315.6,1015.3,62.8,0.6,110.9,9.8,5,07:15:02,1579139102,17:46:28,1579176988,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-17,1579199400,62.1,52.4,55.3,62.1,52.4,55.3,52.7,91.4,0.086,100,8.33,rain,0,0,12.3,8.1,293.3,1016.4,62.8,0.6,111.9,9.5,4,07:14:54,1579225494,17:47:17,1579263437,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-18,1579285800,61.8,51,54.6,61.8,51,54.6,50.9,88.2,0,0,0,,0,0,13.2,6.9,299.4,1018.3,48,0.5,117.7,10.3,6,07:14:44,1579311884,17:48:07,1579349887,0.76,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-19,1579372200,60.5,46.2,50.8,60.5,41.1,49,48.4,92.1,0,0,0,,0,0,15.9,10.5,267,1019.2,28,0.5,165.9,14.3,7,07:14:33,1579398273,17:48:57,1579436337,0.8,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-20,1579458600,59.5,46.4,51.9,59.5,42.9,50.5,50.4,94.8,0,0,0,,0,0,14.8,8.1,268.6,1018.1,50.5,0.5,150.6,13,6,07:14:20,1579484660,17:49:48,1579522788,0.84,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-21,1579545000,67.5,50.6,56.5,67.5,50.6,56.5,52.5,87.7,0,0,0,,0,0,10.7,6.9,104.8,1018.6,54.6,0.5,159.2,13.8,6,07:14:05,1579571045,17:50:38,1579609238,0.87,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
2020-01-22,1579631400,61.6,46.9,52.9,61.6,45.6,52.4,50.8,92.9,0,0,0,,0,0,17,9.2,262.4,1020.6,47.5,0.4,181.2,15.7,7,07:13:49,1579657429,17:51:28,1579695688,0.91,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,
