datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype/0,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations/0,stations/1,stations/2,stations/3,stations/4,source,stations/5,stations/6,severerisk
2021-01-01,1609439400,64.6,38.6,50.3,64.6,38.6,50.3,43.2,79.3,0,0,0,,0,0,11.4,6.9,88.9,1017.9,15.1,0.4,161.3,13.9,6,07:14:04,1609465444,17:35:29,1609502729,0.58,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-02,1609525800,66.2,45.9,56.2,66.2,45.9,56.1,48.7,77.9,0.036,100,8.33,rain,0,0,12.3,10.3,92.7,1016.1,71.8,0.7,97.2,8.2,5,07:14:19,1609551859,17:36:11,1609589171,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-03,1609612200,62.6,51.9,57,62.6,51.9,57,53.9,90.1,1.443,100,12.5,rain,0,0,22.4,10.3,83.1,1014.6,80.2,0.7,122.1,10.7,5,07:14:32,1609638272,17:36:53,1609675613,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-04,1609698600,71,53.9,61.2,71,53.9,61.2,59.4,94.2,0.218,100,12.5,rain,0,0,16.8,11.4,350.3,1016.1,70.7,0.5,124.5,10.9,6,07:14:43,1609724683,17:37:37,1609762057,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-05,1609785000,69.2,58.2,62.7,69.2,58.2,62.7,60.9,93.8,0.046,100,8.33,rain,0,0,21.7,9.2,52,1015.5,85.6,1,112.9,9.6,5,07:14:53,1609811093,17:38:22,1609848502,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-06,1609871400,68.6,58.9,61.6,68.6,58.9,61.6,60.2,95.2,2.292,100,12.5,rain,0,0,13.4,7.8,280.4,1015,57.4,0.6,125.4,10.7,5,07:15:01,1609897501,17:39:07,1609934947,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-07,1609957800,67,54.5,61.3,67,54.5,61.3,58.4,90.6,0,0,0,,0,0,14.3,6.9,294.3,1015,45,0.6,126.9,11,5,07:15:08,1609983908,17:39:52,1610021392,0.79,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-08,1610044200,61.4,52.5,56.4,61.4,52.5,56.4,54.1,92.2,0,0,0,,0,0,13.6,5.8,295.7,1014.7,74.9,0.7,130.8,11.4,5,07:15:13,1610070313,17:40:39,1610107839,0.82,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-09,1610130600,66.9,51.8,58.3,66.9,51.8,58.3,55.4,90.5,0,0,0,,0,0,20.1,6.9,279.5,1015.4,67.1,0.7,148.1,12.9,5,07:15:17,1610156717,17:41:26,1610194286,0.86,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-10,1610217000,59.5,48.2,52.5,59.5,44.1,51.4,48.4,86.8,0,0,0,,0,0,18.8,10.3,279.8,1016.1,31.3,0.8,179.1,15.4,7,07:15:19,1610243119,17:42:13,1610280733,0.9,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-11,1610303400,61.9,44.6,52.2,61.9,41.3,51,47.8,86.2,0,0,0,,0,0,22.6,10.3,283.4,1016.6,23.4,0.9,178,15.2,7,07:15:19,1610329519,17:43:01,1610367181,0.93,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-12,1610389800,60.8,43,50.9,60.8,42.9,50.7,46.4,85.5,0,0,0,,0,0,21,10.1,290,1017,6.8,0.7,178.2,15.5,7,07:15:18,1610415918,17:43:49,1610453629,0.97,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-13,1610476200,61.1,40.8,49.9,61.1,40.8,49.1,45,84.4,0,0,0,,0,0,18.3,7.4,282.3,1016.1,2.1,0.6,180.8,15.6,7,07:15:15,1610502315,17:44:38,1610540078,0,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-14,1610562600,66.2,40,52.1,66.2,40,52.1,46.7,84.1,0,0,0,,0,0,9.6,4.7,291.4,1015.9,28.6,0.4,169.5,14.5,7,07:15:10,1610588710,17:45:27,1610626527,0.03,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-15,1610649000,69.8,45.9,55.6,69.8,45.9,55.6,50.6,85.6,0,0,0,,0,0,9.4,4.7,64.8,1014.4,32.4,0.4,174.7,15.1,7,07:15:04,1610675104,17:46:16,1610712976,0.07,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-16,1610735400,62.6,46.4,51.9,62.6,44.2,51.6,48.5,89.4,0,0,0,,0,0,15,6.7,266.3,1013.2,50,0.3,157.5,13.6,7,07:14:57,1610761497,17:47:06,1610799426,0.1,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,remote,,
2021-01-17,1610821800,57.4,42.8,50.5,57.4,40,49.8,47.7,90.6,0,0,0,,0,0,17.7,12.8,93.4,1015.5,33.7,0.3,157.2,13.6,7,07:14:47,1610847887,17:47:56,1610885876,0.13,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-18,1610908200,66.5,50,57.4,66.5,50,57.4,53.2,86.9,0.004,100,4.17,rain,0,0,16.3,8.1,91.1,1016.2,76.7,0.6,106.3,9.3,4,07:14:36,1610934276,17:48:46,1610972326,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-19,1610994600,67.6,47.9,55.2,67.6,47.9,55.2,51.7,88.5,0,0,0,,0,0,15.9,9.2,271.8,1014.2,32.8,0.4,172.8,15,7,07:14:24,1611020664,17:49:36,1611058776,0.19,Partially cloudy,Partly cloudy throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-20,1611081000,66.6,48.2,55.9,66.6,44.1,55.3,50.8,83.9,0,0,0,,0,0,23,12.1,272.4,1014.5,22,0.5,183.9,15.9,7,07:14:10,1611107050,17:50:26,1611145226,0.23,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-21,1611167400,73.3,49.7,57.5,73.3,48,57.3,48.4,75.4,0,0,0,,0,0,24.4,12.8,269.1,1013.5,3.3,1,188.8,16.3,7,07:13:54,1611193434,17:51:16,1611231676,0.25,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-22,1611253800,64.1,42.4,52.8,64.1,39.5,52.2,48.9,87.4,0,0,0,,0,0,12.8,7.1,85.7,1014.8,14.6,0.6,187.7,16.3,7,07:13:37,1611279817,17:52:07,1611318127,0.29,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,remote,
2021-01-23,1611340200,67.4,48.2,55.8,67.4,44.5,55.1,50.5,84.1,0,0,0,,0,0,20.4,10.3,106.5,1013,37.5,0.5,181.3,15.6,7,07:13:18,1611366198,17:52:57,1611404577,0.32,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-24,1611426600,59,48.8,54.1,59,46.9,54,52,92.7,0,0,0,,0,0,13.9,9.2,283.8,1016.1,47.6,0.4,171.1,14.8,6,07:12:57,1611452577,17:53:48,1611491028,0.35,Partially cloudy,Clearing in the afternoon.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-25,1611513000,62.7,47.6,53.7,62.7,45.6,52.9,50.1,88.7,0,0,0,,0,0,15.9,8.1,299,1018.1,9.9,0.7,179.1,15.4,7,07:12:36,1611538956,17:54:38,1611577478,0.39,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-26,1611599400,67.4,43.8,54.7,67.4,43.8,54.7,46.3,77,0,0,0,,0,0,14.3,8.5,278.9,1017.6,0.1,0.9,192.2,16.5,7,07:12:12,1611625332,17:55:28,1611663928,0.42,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-27,1611685800,68.9,45.1,55.2,68.9,44,54.8,46.5,76.2,0,0,0,,0,0,16.6,9.2,276.4,1017.2,0,1.1,195.7,16.8,7,07:11:47,1611711707,17:56:19,1611750379,0.45,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-28,1611772200,66.2,42.8,54.2,66.2,42.8,54.2,45.4,75.4,0,0,0,,0,0,12.5,5.8,315.6,1018.1,0.3,0.9,197,16.9,7,07:11:21,1611798081,17:57:09,1611836829,0.48,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-29,1611858600,67.9,42.9,54.2,67.9,42.9,54.2,46.3,77.2,0,0,0,,0,0,18.6,11.4,278.3,1018.5,0,0.9,197.5,17,7,07:10:53,1611884453,17:57:59,1611923279,0.5,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-01-30,1611945000,69.4,42.8,54.5,69.4,41.1,54,44.7,72.7,0,0,0,,0,0,19.2,11.1,270.6,1016.8,11.3,1.2,200.7,17.3,7,07:10:23,1611970823,17:58:48,1612009728,0.55,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-01-31,1612031400,73.2,41.9,55.8,73.2,41.9,55.8,43.4,67.8,0,0,0,,0,0,12.1,5.8,247.4,1017.3,0,1.3,200,17.2,7,07:09:52,1612057192,17:59:38,1612096178,0.59,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-02-01,1612117800,78.1,45.9,61.6,78.1,45.9,61.6,45.9,62.7,0,0,0,,0,0,13,7,268.3,1018.9,5.7,1.3,199,17,7,07:09:20,1612143560,18:00:27,1612182627,0.62,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-02-02,1612204200,78.9,48.1,62.7,78.9,48.1,62.7,50.7,71,0,0,0,,0,0,11.2,5.8,196.3,1017.3,0,0.8,200,17.2,7,07:08:46,1612229926,18:01:16,1612269076,0.66,Clear,Clear conditions throughout the day.,fog,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-02-03,1612290600,78,53.4,64.7,78,53.4,64.7,55.9,76.1,0,0,0,,0,0,19.9,9.2,105.3,1015.6,30.3,1,194.1,16.6,7,07:08:11,1612316291,18:02:05,1612355525,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-02-04,1612377000,71.5,54.2,61.7,71.5,54.2,61.7,57.8,87.6,0.041,100,16.67,rain,0,0,23,9.7,32.9,1016.2,64.4,0.9,164,14.1,7,07:07:35,1612402655,18:02:53,1612441973,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-02-05,1612463400,69.8,48.2,57.7,69.8,48.2,57.7,51,80.6,0,0,0,,0,0,12.3,6.9,287.4,1017.8,5.9,1,188.5,16.2,7,07:06:57,1612489017,18:03:42,1612528422,0.77,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-02-06,1612549800,71.6,48.9,59.1,71.6,48.4,59,52.1,80.2,0,0,0,,0,0,20.8,11.4,288.7,1018.1,4.2,1.2,205.2,17.9,7,07:06:18,1612575378,18:04:29,1612614869,0.8,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
2021-02-07,1612636200,73.1,48.2,59.2,73.1,47.3,59.1,52.9,81.8,0,0,0,,0,0,22.4,11.4,283.2,1017.8,1.3,1,207.1,17.9,8,07:05:38,1612661738,18:05:17,1612701317,0.84,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,VIDD,,
2021-02-08,1612722600,74.7,49.7,60.1,74.7,48.4,60.1,52.5,78.8,0,0,0,,0,0,16.3,8.1,292.1,1017.8,3.8,1,207.9,18,8,07:04:56,1612748096,18:06:04,1612787764,0.87,Clear,Clear conditions throughout the day.,clear-day,42182099999,42176099999,VIDP,42139099999,42181099999,obs,,,
