Country,Year,Production (t)
United States,1961,33539008
United States,1962,29718000
United States,1963,31211888
United States,1964,34928000
United States,1965,35805010
United States,1966,35513856
United States,1967,41030784
United States,1968,42365376
United States,1969,39263950
United States,1970,36784000
United States,1971,44052800
United States,1972,42081630
United States,1973,46560784
United States,1974,48496690
United States,1975,57886450
United States,1976,58481200
United States,1977,55671056
United States,1978,48322656
United States,1979,58080576
United States,1980,64799504
United States,1981,75806300
United States,1982,75251300
United States,1983,65857904
United States,1984,70618000
United States,1985,65975010
United States,1986,56897010
United States,1987,57361810
United States,1988,49320000
United States,1989,55428000
United States,1990,74294000
United States,1991,53890000
United States,1992,67136000
United States,1993,65222000
United States,1994,63168000
United States,1995,59404000
United States,1996,61982000
United States,1997,67536000
United States,1998,69327000
United States,1999,62567284
United States,2000,60639376
United States,2001,52999932
United States,2002,43703970
United States,2003,63803256
United States,2004,58697040
United States,2005,57241990
United States,2006,49216040
United States,2007,55820360
United States,2008,68016100
United States,2009,60365730
United States,2010,60062410
United States,2011,54418810
United States,2012,61677384
United States,2013,58104610
United States,2014,55147120
United States,2015,55839540
United States,2016,62831508
United States,2017,47379810
United States,2018,51305540
United States,2019,52580890
United States,2020,49751180
United States,2021,44803690
United States,2022,44902320
